layer,head_0,head_1,head_2,head_3,head_4,head_5
0,0.36133724451065063,0.40784475207328796,0.6455773115158081,0.3686385452747345,0.4126013517379761,0.3767837882041931
1,0.42613643407821655,0.6211649179458618,0.4533584713935852,0.6211084723472595,0.5078710913658142,0.44256219267845154
2,0.5396950840950012,0.4345150589942932,0.6871926784515381,0.7506358027458191,0.5096416473388672,0.601852297782898
3,0.4318169951438904,0.6263972520828247,0.8215605616569519,0.4626052677631378,0.4876735806465149,0.4917350709438324
4,0.5839246511459351,0.5214837193489075,0.6544315814971924,0.5747854113578796,0.6397454142570496,0.56297767162323
5,0.5661517381668091,0.5061384439468384,0.5499642491340637,0.549900472164154,0.7200412750244141,0.6693801283836365
