epoch,q,train_loss,val_loss,val_accuracy,epoch_time_s
1,1.0000,2.426147,2.255372,0.641600,57.01
2,1.0000,2.223255,2.188749,0.769400,55.46
3,1.0000,2.177087,2.165733,0.826200,55.58
4,1.0000,2.151512,2.145934,0.868800,55.61
5,1.0000,2.135830,2.149015,0.861000,55.62
6,1.0000,2.121730,2.137088,0.899000,55.63
7,1.0000,2.110865,2.136346,0.911800,55.61
8,1.0000,2.098286,2.126530,0.947800,55.61
9,1.0000,2.087234,2.128754,0.955000,55.59
10,1.0000,2.073165,2.139226,0.954000,55.58
11,2.0000,2.134904,2.144779,0.897200,55.86
12,2.0000,2.078734,2.142770,0.953000,55.87
13,2.0000,2.055169,2.146459,0.962200,55.88
14,2.0000,2.036566,2.152566,0.969200,55.87
15,2.0000,2.018466,2.161860,0.967200,55.89
16,2.0000,1.999711,2.173412,0.979800,55.90
17,2.0000,1.982870,2.188050,0.986400,55.89
18,2.0000,1.967348,2.203096,0.971800,55.90
19,2.0000,1.952557,2.222038,0.992200,55.89
20,2.0000,1.942924,2.238798,0.990200,55.87
21,4.0000,1.987969,2.234617,0.974200,56.17
22,4.0000,1.957357,2.240259,0.983000,56.22
23,4.0000,1.941111,2.255666,0.983200,56.25
24,4.0000,1.934002,2.268600,0.983400,56.25
25,4.0000,1.930322,2.271366,0.993200,56.22
26,4.0000,1.927220,2.277231,0.994600,56.23
27,4.0000,1.918566,2.287574,0.994600,56.22
28,4.0000,1.916776,2.291914,0.990600,56.22
29,4.0000,1.914487,2.305226,0.996800,56.20
30,4.0000,1.909954,2.304041,0.995600,56.19
31,8.0000,3.756920,3.223156,0.147200,56.19
32,8.0000,3.226540,3.065516,0.081400,56.18
33,8.0000,2.932681,2.791392,0.141400,56.24
34,8.0000,2.813806,2.734563,0.173800,56.24
35,8.0000,2.791114,2.731155,0.167400,56.22
36,8.0000,2.732502,2.667747,0.200200,56.23
37,8.0000,2.673254,2.632423,0.209800,56.26
38,8.0000,2.643257,2.588359,0.275600,56.26
39,8.0000,2.627922,2.580732,0.264800,56.26
40,8.0000,2.609706,2.552129,0.302000,56.25
41,16.0000,3.292195,3.082695,0.049400,56.25
42,16.0000,3.164210,3.073663,0.056000,56.22
43,16.0000,3.301839,3.200933,0.045600,56.19
44,16.0000,3.224667,3.154472,0.032600,56.16
45,16.0000,3.283722,3.263378,0.008400,56.16
46,16.0000,3.322578,3.296823,0.011200,56.19
47,16.0000,3.333268,3.266878,0.005800,56.15
48,16.0000,3.326790,3.258680,0.012200,56.13
49,16.0000,3.342679,3.276648,0.003200,56.14
50,16.0000,3.348821,3.244064,0.022600,56.14
