layer,head_0,head_1,head_2,head_3,head_4,head_5
0,0.020102733746170998,0.006331456825137138,0.011764848604798317,0.0086783766746521,0.0024360758252441883,0.008844244293868542
1,0.016411246731877327,0.011559591628611088,0.007579600904136896,0.015015462413430214,0.0071579874493181705,0.011663045734167099
2,0.004317137878388166,0.005739440675824881,0.013067138381302357,0.025334997102618217,0.01729341596364975,0.009267577901482582
3,0.013515271246433258,0.007138113025575876,0.01880316250026226,0.020147690549492836,0.016113674268126488,0.009345322847366333
4,0.005917407106608152,0.022346679121255875,0.007657120004296303,0.004204875323921442,0.025281239300966263,0.014123665168881416
5,0.031029541045427322,0.017515365034341812,0.001058106659911573,0.012078830972313881,0.0007281936123035848,0.009942024014890194
