layer,head_0,head_1,head_2,head_3,head_4,head_5
0,0.00819286797195673,0.009637431241571903,0.0053776465356349945,0.006156538147479296,0.004988154396414757,0.0065847644582390785
1,3.838611602783203,3.8316493034362793,3.8425798416137695,3.8362932205200195,3.8308663368225098,3.758134365081787
2,3.7558646202087402,3.772852897644043,3.8288753032684326,3.851348876953125,3.840749740600586,3.84910249710083
3,3.7426302433013916,3.8217110633850098,3.7419369220733643,3.8477044105529785,3.834873676300049,3.8187904357910156
4,3.840259075164795,3.852890968322754,3.838078737258911,3.8502631187438965,3.8421943187713623,3.8145833015441895
5,3.753831148147583,3.826573371887207,3.8231639862060547,3.842836618423462,3.8535685539245605,3.822739601135254
