layer,head_0,head_1,head_2,head_3,head_4,head_5
0,2.7504889965057373,3.8144383430480957,3.7726240158081055,3.703594923019409,3.187990665435791,2.4110052585601807
1,2.0466248989105225,3.289685010910034,2.9723780155181885,3.0621137619018555,3.088212013244629,3.7349801063537598
2,3.1494643688201904,2.6553726196289062,2.8414323329925537,3.216218948364258,2.8264577388763428,3.071974515914917
3,2.682512044906616,2.900146007537842,3.2131569385528564,2.9474730491638184,3.1865382194519043,3.0837931632995605
4,3.0786659717559814,2.9892079830169678,3.055135488510132,3.244248390197754,2.655271530151367,2.476639747619629
5,3.0890026092529297,2.935798168182373,3.060398817062378,2.8663675785064697,2.8438162803649902,2.939992666244507
