layer,head_0,head_1,head_2,head_3,head_4,head_5
0,1.0,1.0,1.0,1.0,1.0,1.0
1,0.36372753977775574,0.36295539140701294,0.36897069215774536,0.4395765960216522,0.3930674195289612,0.4906259775161743
2,0.3881415128707886,0.43483513593673706,0.40262049436569214,0.3874518871307373,0.3745270371437073,0.41396206617355347
3,0.3674502968788147,0.35897746682167053,0.42433664202690125,0.3511171340942383,0.41840967535972595,0.5852361917495728
4,0.5219281315803528,0.38226810097694397,0.3879822790622711,0.3572857081890106,0.4060519337654114,0.376283198595047
5,0.35786446928977966,0.46488022804260254,0.36759528517723083,0.3813858926296234,0.3573455214500427,0.3914026618003845
