layer,head_0,head_1,head_2,head_3,head_4,head_5
0,1.0,1.0,1.0,1.0,1.0,1.0
1,0.3654176592826843,0.6033754348754883,0.5725865960121155,0.41286832094192505,0.37882962822914124,0.38323938846588135
2,0.3653205335140228,0.39473024010658264,0.5389544367790222,0.3727648854255676,0.5642677545547485,0.48977819085121155
3,0.39469265937805176,0.5049793720245361,0.3665969669818878,0.39279302954673767,0.37400007247924805,0.4254131615161896
4,0.4027472734451294,0.35592764616012573,0.35273638367652893,0.5469465255737305,0.47255605459213257,0.40232402086257935
5,0.4618529677391052,0.44165682792663574,0.36845147609710693,0.3958633244037628,0.481997013092041,0.37404996156692505
