N_CTX,Triton [FP16] (TFLOPS),Triton [FP8] (TFLOPS)
1024.000000,250.702529,358.832948
2048.000000,372.178448,533.809996
4096.000000,461.784262,656.830300
8192.000000,516.124598,754.620065
16384.000000,535.669220,802.406536
