N_CTX,Triton [FP16] (TFLOPS),Triton [FP8] (TFLOPS)
1024.000000,192.625642,235.114161
2048.000000,291.335241,360.543314
4096.000000,370.340983,449.003129
8192.000000,384.721512,504.009907
16384.000000,428.527929,532.929021
