N_CTX,Triton [FP16] (TFLOPS),Triton [FP8] (TFLOPS)
1024.000000,405.650140,512.676290
2048.000000,518.435320,669.328981
4096.000000,552.335219,773.414816
8192.000000,570.784574,842.057573
16384.000000,579.529118,878.693340
