N_CTX,Triton [FP16] (TFLOPS),Triton [FP8] (TFLOPS)
1024.000000,223.470609,221.317146
2048.000000,284.034738,283.885948
4096.000000,325.565366,325.211561
8192.000000,350.615777,333.659398
16384.000000,357.436986,344.591710
