N_CTX,Triton [FP16] (TFLOPS),Triton [FP8] (TFLOPS)
1024.000000,8.612185,8.520974
2048.000000,8.711929,8.662785
4096.000000,8.803760,8.683298
8192.000000,8.808744,8.680840
16384.000000,8.281786,8.547633
