N_CTX,Triton [FP16] (TFLOPS),Triton [FP8] (TFLOPS)
1024.000000,241.502445,265.020562
2048.000000,301.965609,331.786217
4096.000000,341.581230,373.812854
8192.000000,368.377938,399.508070
16384.000000,377.295277,412.883959
