N_CTX,Triton [FP16] (TFLOPS),Triton [FP8] (TFLOPS)
1024.000000,391.006390,498.694469
2048.000000,480.640108,613.273579
4096.000000,533.807730,763.246601
8192.000000,548.099707,808.520945
16384.000000,574.783606,828.712740
