layer,head_0,head_1,head_2,head_3,head_4,head_5
0,1.0,1.0,1.0,1.0,1.0,1.0
1,1.0,1.0,1.0,0.9999745488166809,1.0,1.0
2,1.0,1.0,1.0,1.0,1.0,1.0
3,1.0,0.9986494183540344,1.0,1.0,1.0,1.0
4,1.0,1.0,1.0,1.0,1.0,1.0
5,1.0,1.0,1.0,1.0,1.0,1.0
