layer,head_0,head_1,head_2,head_3,head_4,head_5
0,0.023792196065187454,0.039557959884405136,0.019098760560154915,0.01882580667734146,0.008539506234228611,0.04127106815576553
1,0.125640869140625,0.01914808340370655,0.01984741911292076,0.010668936185538769,0.007151575293391943,0.024362754076719284
2,0.007470384705811739,0.007618059869855642,0.005183636210858822,0.007026694715023041,0.011412831954658031,0.07352869212627411
3,0.010377421975135803,0.009312291629612446,0.004676227457821369,0.0080697787925601,0.05172300338745117,0.07200184464454651
4,0.012558159418404102,0.015933847054839134,0.027488404884934425,0.011307927779853344,0.022976845502853394,0.10792094469070435
5,0.015350698493421078,0.020232748240232468,0.00802965834736824,0.012055609375238419,0.02986980229616165,0.010694952681660652
