layer,head_0,head_1,head_2,head_3,head_4,head_5
0,0.21911455690860748,0.3380870223045349,0.1729612797498703,2.1959753036499023,0.44988155364990234,1.7250840663909912
1,0.23169900476932526,0.4180666208267212,0.1647091507911682,0.4320627748966217,0.25593602657318115,0.36679980158805847
2,0.4662529528141022,0.2762787938117981,0.653057336807251,0.39472848176956177,0.4214155972003937,0.3427827060222626
3,0.32990679144859314,0.7339323163032532,0.4136788249015808,0.6284680962562561,0.45885321497917175,0.30024001002311707
4,0.2909228205680847,0.7211002707481384,0.27268221974372864,0.24828772246837616,0.06588003784418106,0.30267512798309326
5,0.32127994298934937,0.41639578342437744,0.8668748140335083,1.0167629718780518,0.8830560445785522,0.23257306218147278
