layer,head_0,head_1,head_2,head_3,head_4,head_5
0,0.02611873298883438,0.02429855614900589,0.01954244263470173,0.018668077886104584,0.02473032847046852,0.012660963460803032
1,5.212848663330078,4.834323883056641,5.05516242980957,5.206878662109375,4.8095879554748535,5.229391098022461
2,5.2209954261779785,5.220372676849365,5.211992263793945,5.229856491088867,5.208831787109375,5.220714569091797
3,5.2190165519714355,4.9119720458984375,4.632484436035156,5.093876361846924,5.188462257385254,5.205044746398926
4,4.154145240783691,5.238675594329834,5.182211399078369,4.981390476226807,5.219895839691162,5.186814308166504
5,5.214608192443848,5.219892501831055,5.229829788208008,5.227846145629883,5.228899002075195,5.222806930541992
