layer,head_0,head_1,head_2,head_3,head_4,head_5
0,0.011607988737523556,0.010913669131696224,0.03798437863588333,0.007583243772387505,0.03438496217131615,0.029998164623975754
1,3.8445186614990234,3.8401310443878174,3.859917163848877,3.850515365600586,3.706557273864746,3.8358097076416016
2,3.8462347984313965,3.8484952449798584,3.8379533290863037,3.8511829376220703,3.842015266418457,3.820784330368042
3,3.8439056873321533,3.849766731262207,3.8542075157165527,3.7835946083068848,3.8509345054626465,3.840701103210449
4,3.8523361682891846,3.8447256088256836,3.8659701347351074,3.817924737930298,3.854255437850952,3.849214792251587
5,3.828317642211914,3.8386595249176025,3.851734161376953,3.8412482738494873,3.8490633964538574,3.830761432647705
