layer,head_0,head_1,head_2,head_3,head_4,head_5
0,1.0,1.0,1.0,1.0,1.0,1.0
1,0.3482682704925537,0.3438766598701477,0.3347640633583069,0.3438608646392822,0.40046441555023193,0.34303292632102966
2,0.34645509719848633,0.3413107693195343,0.33804652094841003,0.3428228199481964,0.34144413471221924,0.37162235379219055
3,0.3367235064506531,0.3415842056274414,0.33521655201911926,0.3761516809463501,0.3348239064216614,0.3334283232688904
4,0.33788400888442993,0.3380099833011627,0.3286283612251282,0.3579525351524353,0.3370809555053711,0.3487136662006378
5,0.35754096508026123,0.3501746654510498,0.3438480496406555,0.35003823041915894,0.33477017283439636,0.3454148471355438
