N_CTX,Stieltjes (Triton) (TFLOPS),Stieltjes (PyTorch) (TFLOPS),Softmax (PyTorch) (TFLOPS)
128.000000,9.121883,0.496193,5.586886
256.000000,28.515363,1.934302,14.144467
512.000000,65.896150,2.010285,18.212938
1024.000000,105.906222,2.114906,21.278406
2048.000000,120.465228,2.209161,22.563085
4096.000000,131.934033,2.241576,23.514448
