N_CTX,Stieltjes (Triton) (TFLOPS),Stieltjes (PyTorch) (TFLOPS),Softmax (PyTorch) (TFLOPS)
128.000000,7.078386,0.968722,8.760272
256.000000,19.845409,3.619812,20.070255
512.000000,40.483053,4.152106,24.479587
1024.000000,45.198017,3.776826,25.411555
2048.000000,47.613060,3.956667,25.445299
4096.000000,48.978280,4.078005,27.550847
