N_CTX,Stieltjes (Triton) (TFLOPS),Stieltjes (PyTorch) (TFLOPS),Softmax (PyTorch) (TFLOPS)
128.000000,1.377274,0.486021,5.063707
256.000000,4.352888,1.880479,12.000924
512.000000,12.002229,2.173059,16.192670
1024.000000,20.162524,1.956317,16.408626
2048.000000,21.564776,2.066449,17.410065
4096.000000,21.297605,2.108825,17.754292
