N,q,init_name,init_value,iteration,mean_rel_error,max_rel_error,mean_abs_f
256,1.0,max+n^(1/2q),16.000000,6,0.0078552663,0.0104923490,0.0078326687
256,1.0,max+n^(1/2q),16.000000,7,0.0000618416,0.0001093678,0.0000612079
256,1.0,max+n^(1/2q),16.000000,8,0.0000000479,0.0000002412,0.0000000310
256,1.0,max+n^(1/2q),16.000000,9,0.0000000298,0.0000001814,0.0000000090
256,2.0,n^(1/q),16.000000,0,0.2062901556,0.4709567130,0.2693064809
256,2.0,n^(1/q),16.000000,1,0.0582328998,0.2535316348,0.1044874489
256,2.0,n^(1/q),16.000000,2,0.0047238981,0.0630105287,0.0077510308
256,2.0,n^(1/q),16.000000,3,0.0000465210,0.0040593920,0.0000731936
256,2.0,n^(1/q),16.000000,4,0.0000000329,0.0000170968,0.0000000650
256,2.0,n^(1/q),16.000000,5,0.0000000035,0.0000000869,0.0000000176
256,2.0,n^(1/q),16.000000,6,0.0000000000,0.0000000000,0.0000000168
256,2.0,n^(1/q),16.000000,7,0.0000000030,0.0000000843,0.0000000168
256,2.0,n^(1/q),16.000000,8,0.0000000000,0.0000000000,0.0000000168
256,2.0,n^(1/q),16.000000,9,0.0000000030,0.0000000843,0.0000000168
256,2.0,eps=0.1,0.100000,0,0.9924606681,0.9930750132,182.2862548828
256,2.0,eps=0.1,0.100000,1,0.9868119359,0.9881346822,94.9406204224
256,2.0,eps=0.1,0.100000,2,0.9736317992,0.9798506498,52.0525932312
256,2.0,eps=0.1,0.100000,3,0.9387639761,0.9642085433,27.6900367737
256,2.0,eps=0.1,0.100000,4,0.8593806028,0.9279778600,13.1989574432
256,2.0,eps=0.1,0.100000,5,0.7245355844,0.8478070498,5.7939343452
256,2.0,eps=0.1,0.100000,6,0.5345713496,0.7289834023,2.3694272041
256,2.0,eps=0.1,0.100000,7,0.3096417189,0.5596402884,0.8517992496
256,2.0,eps=0.1,0.100000,8,0.1133432612,0.3489639461,0.2281749696
256,2.0,eps=0.1,0.100000,9,0.0176107083,0.1452507079,0.0310602579
256,2.0,eps=1.0,1.000000,0,0.9246068597,0.9307501912,23.7735748291
256,2.0,eps=1.0,1.000000,1,0.8305466771,0.8689605594,10.9957952499
256,2.0,eps=1.0,1.000000,2,0.6811984181,0.7704894543,4.7470207214
256,2.0,eps=1.0,1.000000,3,0.4798619151,0.6264598370,1.8992309570
256,2.0,eps=1.0,1.000000,4,0.2561052442,0.4358463585,0.6522071362
256,2.0,eps=1.0,1.000000,5,0.0813245028,0.2253157347,0.1578426361
256,2.0,eps=1.0,1.000000,6,0.0099038295,0.0645058751,0.0173315611
256,2.0,eps=1.0,1.000000,7,0.0002189022,0.0055570821,0.0003797770
256,2.0,eps=1.0,1.000000,8,0.0000002684,0.0000418705,0.0000004652
